# Year, Herbivore Count, Carnivore Count
0, 50, 0
1, 47, 0
2, 76, 0
3, 102, 0
4, 105, 0
5, 109, 0
6, 129, 0
7, 141, 0
8, 158, 0
9, 164, 0
10, 171, 0
11, 171, 0
12, 182, 0
13, 194, 0
14, 193, 0
15, 185, 0
16, 186, 0
17, 184, 0
18, 178, 0
19, 181, 0
20, 177, 0
21, 186, 0
22, 196, 0
23, 200, 0
24, 200, 0
25, 199, 0
26, 209, 0
27, 201, 0
28, 198, 0
29, 188, 0
30, 198, 0
31, 206, 0
32, 213, 0
33, 214, 0
34, 209, 0
35, 206, 0
36, 202, 0
37, 203, 0
38, 209, 0
39, 203, 0
40, 203, 0
41, 202, 0
42, 208, 0
43, 207, 0
44, 199, 0
45, 198, 0
46, 198, 0
47, 192, 0
48, 197, 0
49, 201, 0
50, 203, 20
51, 148, 37
52, 117, 42
53, 107, 49
54, 92, 56
55, 95, 59
56, 86, 54
57, 76, 55
58, 76, 61
59, 72, 59
60, 64, 58
61, 53, 57
62, 55, 59
63, 52, 63
64, 52, 63
65, 44, 61
66, 45, 53
67, 41, 57
68, 38, 55
69, 35, 55
70, 36, 54
71, 31, 47
72, 33, 48
73, 26, 42
74, 26, 36
75, 30, 34
76, 24, 37
77, 31, 35
78, 34, 27
79, 36, 23
80, 44, 17
81, 56, 17
82, 66, 17
83, 77, 11
84, 88, 8
85, 99, 7
86, 114, 7
87, 118, 8
88, 127, 12
89, 121, 11
90, 134, 14
91, 126, 15
92, 121, 19
93, 120, 22
94, 114, 20
95, 114, 24
96, 111, 24
97, 100, 26
98, 94, 29
99, 96, 31
100, 94, 33
101, 84, 32
102, 88, 36
103, 74, 36
104, 88, 41
105, 81, 39
106, 81, 42
107, 84, 44
108, 84, 46
109, 70, 45
110, 73, 40
111, 77, 39
112, 76, 37
113, 74, 34
114, 76, 33
115, 86, 39
116, 74, 42
117, 72, 46
118, 82, 45
119, 77, 53
120, 74, 52
121, 81, 50
122, 82, 55
123, 85, 48
124, 73, 41
125, 80, 47
126, 75, 48
127, 80, 49
128, 85, 48
129, 75, 43
130, 81, 41
131, 91, 40
132, 88, 41
133, 90, 41
134, 82, 41
135, 101, 41
136, 102, 40
137, 115, 32
138, 104, 32
139, 99, 33
140, 99, 35
141, 90, 34
142, 97, 33
143, 98, 35
144, 91, 45
145, 82, 42
146, 93, 38
147, 99, 47
148, 103, 42
149, 97, 41
150, 92, 46
151, 89, 50
152, 90, 46
153, 91, 49
154, 88, 51
155, 90, 52
156, 87, 52
157, 93, 52
158, 82, 51
159, 88, 50
160, 87, 45
161, 74, 47
162, 79, 46
163, 76, 51
164, 79, 53
165, 67, 49
166, 58, 49
167, 63, 50
168, 62, 47
169, 63, 51
170, 60, 47
171, 53, 49
172, 54, 43
173, 55, 45
174, 56, 46
175, 50, 43
176, 63, 47
177, 69, 45
178, 60, 46
179, 67, 45
180, 74, 42
181, 79, 41
182, 85, 37
183, 84, 41
184, 87, 43
185, 101, 37
186, 94, 35
187, 102, 32
188, 108, 32
189, 102, 30
190, 104, 32
191, 109, 33
192, 98, 35
193, 89, 36
194, 84, 44
195, 90, 49
196, 103, 48
197, 98, 46
198, 93, 45
199, 83, 48
200, 90, 45
201, 84, 46
202, 84, 47
203, 87, 41
204, 82, 43
205, 89, 41
206, 80, 42
207, 86, 42
208, 83, 39
209, 86, 38
210, 73, 39
211, 79, 45
212, 82, 42
213, 93, 48
214, 88, 43
215, 94, 49
216, 86, 54
217, 78, 61
218, 79, 61
219, 73, 58
220, 63, 56
221, 61, 55
222, 58, 60
223, 56, 56
224, 60, 59
225, 59, 59
226, 63, 55
227, 56, 48
228, 58, 40
229, 65, 40
230, 66, 30
231, 72, 38
232, 73, 37
233, 80, 44
234, 88, 38
235, 89, 37
236, 87, 36
237, 85, 32
238, 91, 31
239, 85, 31
240, 82, 31
241, 89, 29
242, 97, 36
243, 96, 36
244, 87, 39
245, 93, 39
246, 98, 44
247, 94, 42
248, 100, 41
249, 98, 44
250, 100, 42
251, 108, 37
252, 109, 33
253, 102, 33
254, 111, 38
255, 85, 38
256, 90, 36
257, 97, 33
258, 94, 36
259, 89, 38
260, 87, 34
261, 82, 36
262, 87, 38
263, 87, 43
264, 95, 45
265, 87, 43
266, 82, 38
267, 81, 34
268, 80, 36
269, 87, 38
270, 83, 44
271, 85, 46
272, 80, 42
273, 81, 38
274, 82, 43
275, 79, 38
276, 70, 44
277, 75, 46
278, 77, 50
279, 68, 51
280, 75, 45
281, 78, 44
282, 77, 42
283, 90, 35
284, 96, 38
285, 96, 37
286, 109, 34
287, 109, 33
288, 109, 33
289, 107, 30
290, 112, 29
291, 112, 26
292, 107, 24
293, 107, 21
294, 103, 28
295, 106, 33
296, 96, 31
297, 108, 29
298, 106, 31
299, 99, 37
