# Year, Herbivore Count, Carnivore Count
0, 50, 0
1, 48, 0
2, 85, 0
3, 100, 0
4, 109, 0
5, 120, 0
6, 123, 0
7, 143, 0
8, 149, 0
9, 154, 0
10, 168, 0
11, 162, 0
12, 169, 0
13, 190, 0
14, 194, 0
15, 188, 0
16, 200, 0
17, 205, 0
18, 199, 0
19, 214, 0
20, 221, 0
21, 200, 0
22, 196, 0
23, 193, 0
24, 199, 0
25, 197, 0
26, 193, 0
27, 203, 0
28, 208, 0
29, 209, 0
30, 216, 0
31, 214, 0
32, 219, 0
33, 214, 0
34, 206, 0
35, 204, 0
36, 216, 0
37, 223, 0
38, 227, 0
39, 233, 0
40, 223, 0
41, 217, 0
42, 220, 0
43, 218, 0
44, 208, 0
45, 213, 0
46, 217, 0
47, 215, 0
48, 211, 0
49, 212, 0
50, 205, 0
51, 211, 0
52, 204, 0
53, 206, 0
54, 209, 0
55, 211, 0
56, 212, 0
57, 207, 0
58, 211, 0
59, 207, 0
60, 215, 0
61, 205, 0
62, 188, 0
63, 187, 0
64, 187, 0
65, 187, 0
66, 186, 0
67, 192, 0
68, 191, 0
69, 180, 0
70, 183, 0
71, 189, 0
72, 193, 0
73, 191, 0
74, 198, 0
75, 189, 0
76, 192, 0
77, 186, 0
78, 185, 0
79, 181, 0
80, 181, 0
81, 190, 0
82, 185, 0
83, 172, 0
84, 174, 0
85, 178, 0
86, 184, 0
87, 204, 0
88, 206, 0
89, 203, 0
90, 198, 0
91, 194, 0
92, 197, 0
93, 201, 0
94, 195, 0
95, 186, 0
96, 181, 0
97, 186, 0
98, 198, 0
99, 203, 0
100, 193, 0
101, 191, 0
102, 184, 0
103, 184, 0
104, 178, 0
105, 186, 0
106, 195, 0
107, 197, 0
108, 198, 0
109, 194, 0
110, 194, 0
111, 200, 0
112, 201, 0
113, 202, 0
114, 205, 0
115, 204, 0
116, 200, 0
117, 206, 0
118, 208, 0
119, 202, 0
120, 194, 0
121, 201, 0
122, 197, 0
123, 202, 0
124, 199, 0
125, 205, 0
126, 206, 0
127, 207, 0
128, 202, 0
129, 195, 0
130, 207, 0
131, 200, 0
132, 191, 0
133, 204, 0
134, 199, 0
135, 192, 0
136, 196, 0
137, 199, 0
138, 207, 0
139, 211, 0
140, 209, 0
141, 219, 0
142, 205, 0
143, 201, 0
144, 203, 0
145, 218, 0
146, 213, 0
147, 206, 0
148, 196, 0
149, 198, 0
150, 195, 0
151, 199, 0
152, 205, 0
153, 203, 0
154, 208, 0
155, 202, 0
156, 197, 0
157, 200, 0
158, 203, 0
159, 195, 0
160, 199, 0
161, 196, 0
162, 206, 0
163, 200, 0
164, 204, 0
165, 206, 0
166, 203, 0
167, 200, 0
168, 199, 0
169, 209, 0
170, 209, 0
171, 217, 0
172, 210, 0
173, 204, 0
174, 201, 0
175, 203, 0
176, 198, 0
177, 194, 0
178, 191, 0
179, 173, 0
180, 178, 0
181, 182, 0
182, 183, 0
183, 188, 0
184, 192, 0
185, 194, 0
186, 200, 0
187, 202, 0
188, 200, 0
189, 203, 0
190, 199, 0
191, 201, 0
192, 200, 0
193, 203, 0
194, 195, 0
195, 189, 0
196, 194, 0
197, 197, 0
198, 196, 0
199, 190, 0
200, 196, 0
201, 195, 0
202, 186, 0
203, 194, 0
204, 195, 0
205, 187, 0
206, 184, 0
207, 185, 0
208, 201, 0
209, 196, 0
210, 193, 0
211, 188, 0
212, 197, 0
213, 198, 0
214, 194, 0
215, 195, 0
216, 193, 0
217, 207, 0
218, 195, 0
219, 202, 0
220, 187, 0
221, 184, 0
222, 189, 0
223, 193, 0
224, 200, 0
225, 203, 0
226, 198, 0
227, 198, 0
228, 199, 0
229, 199, 0
230, 209, 0
231, 212, 0
232, 221, 0
233, 222, 0
234, 211, 0
235, 197, 0
236, 197, 0
237, 201, 0
238, 198, 0
239, 190, 0
240, 200, 0
241, 207, 0
242, 204, 0
243, 203, 0
244, 199, 0
245, 197, 0
246, 201, 0
247, 205, 0
248, 214, 0
249, 224, 0
250, 222, 0
251, 207, 0
252, 196, 0
253, 193, 0
254, 200, 0
255, 201, 0
256, 199, 0
257, 197, 0
258, 196, 0
259, 196, 0
260, 195, 0
261, 214, 0
262, 219, 0
263, 216, 0
264, 216, 0
265, 205, 0
266, 202, 0
267, 202, 0
268, 201, 0
269, 192, 0
270, 193, 0
271, 195, 0
272, 192, 0
273, 195, 0
274, 199, 0
275, 199, 0
276, 211, 0
277, 201, 0
278, 202, 0
279, 201, 0
280, 209, 0
281, 210, 0
282, 206, 0
283, 197, 0
284, 195, 0
285, 200, 0
286, 188, 0
287, 189, 0
288, 199, 0
289, 188, 0
290, 187, 0
291, 182, 0
292, 181, 0
293, 182, 0
294, 190, 0
295, 188, 0
296, 188, 0
297, 190, 0
298, 195, 0
299, 186, 0
