# Year, Herbivore Count, Carnivore Count
0, 50, 0
1, 49, 0
2, 86, 0
3, 100, 0
4, 98, 0
5, 112, 0
6, 137, 0
7, 154, 0
8, 157, 0
9, 155, 0
10, 163, 0
11, 166, 0
12, 181, 0
13, 185, 0
14, 188, 0
15, 195, 0
16, 199, 0
17, 200, 0
18, 201, 0
19, 208, 0
20, 196, 0
21, 200, 0
22, 195, 0
23, 197, 0
24, 206, 0
25, 211, 0
26, 216, 0
27, 222, 0
28, 213, 0
29, 209, 0
30, 212, 0
31, 212, 0
32, 215, 0
33, 221, 0
34, 224, 0
35, 223, 0
36, 220, 0
37, 215, 0
38, 206, 0
39, 206, 0
40, 198, 0
41, 203, 0
42, 220, 0
43, 211, 0
44, 213, 0
45, 220, 0
46, 206, 0
47, 205, 0
48, 212, 0
49, 213, 0
50, 213, 0
51, 209, 0
52, 206, 0
53, 205, 0
54, 208, 0
55, 206, 0
56, 208, 0
57, 203, 0
58, 197, 0
59, 200, 0
60, 200, 0
61, 199, 0
62, 206, 0
63, 207, 0
64, 216, 0
65, 215, 0
66, 215, 0
67, 210, 0
68, 213, 0
69, 200, 0
70, 201, 0
71, 193, 0
72, 191, 0
73, 185, 0
74, 184, 0
75, 177, 0
76, 180, 0
77, 193, 0
78, 198, 0
79, 200, 0
80, 193, 0
81, 172, 0
82, 177, 0
83, 185, 0
84, 182, 0
85, 175, 0
86, 186, 0
87, 190, 0
88, 201, 0
89, 199, 0
90, 207, 0
91, 217, 0
92, 218, 0
93, 216, 0
94, 215, 0
95, 201, 0
96, 200, 0
97, 202, 0
98, 218, 0
99, 214, 0
100, 214, 0
101, 207, 0
102, 201, 0
103, 196, 0
104, 206, 0
105, 199, 0
106, 204, 0
107, 204, 0
108, 196, 0
109, 195, 0
110, 196, 0
111, 190, 0
112, 191, 0
113, 192, 0
114, 196, 0
115, 192, 0
116, 200, 0
117, 194, 0
118, 185, 0
119, 176, 0
120, 179, 0
121, 177, 0
122, 185, 0
123, 188, 0
124, 187, 0
125, 192, 0
126, 187, 0
127, 200, 0
128, 206, 0
129, 197, 0
130, 197, 0
131, 199, 0
132, 204, 0
133, 191, 0
134, 196, 0
135, 184, 0
136, 197, 0
137, 185, 0
138, 192, 0
139, 203, 0
140, 207, 0
141, 204, 0
142, 197, 0
143, 189, 0
144, 194, 0
145, 200, 0
146, 193, 0
147, 192, 0
