# Year, Herbivore Count, Carnivore Count
0, 50, 0
1, 42, 0
2, 72, 0
3, 99, 0
4, 98, 0
5, 108, 0
6, 121, 0
7, 135, 0
8, 149, 0
9, 161, 0
10, 167, 0
11, 165, 0
12, 176, 0
13, 174, 0
14, 178, 0
15, 182, 0
16, 194, 0
17, 202, 0
18, 194, 0
19, 194, 0
20, 189, 0
21, 203, 0
22, 204, 0
23, 195, 0
24, 201, 0
25, 199, 0
26, 201, 0
27, 202, 0
28, 205, 0
29, 204, 0
30, 209, 0
31, 220, 0
32, 215, 0
33, 207, 0
34, 202, 0
35, 215, 0
36, 214, 0
37, 216, 0
38, 220, 0
39, 216, 0
40, 208, 0
41, 209, 0
42, 206, 0
43, 205, 0
44, 203, 0
45, 205, 0
46, 213, 0
47, 209, 0
48, 202, 0
49, 205, 0
50, 214, 20
51, 156, 35
52, 117, 44
53, 106, 50
54, 94, 63
55, 75, 59
56, 66, 59
57, 56, 62
58, 50, 68
59, 47, 65
60, 36, 61
61, 32, 62
62, 31, 60
63, 30, 54
64, 29, 51
65, 26, 46
66, 26, 47
67, 25, 40
68, 23, 39
69, 21, 41
70, 26, 43
71, 30, 36
72, 29, 34
73, 30, 28
74, 36, 25
75, 34, 26
76, 39, 23
77, 46, 19
78, 56, 19
79, 63, 16
80, 67, 14
81, 80, 15
82, 90, 17
83, 99, 14
84, 107, 15
85, 125, 13
86, 134, 14
87, 139, 12
88, 131, 12
89, 133, 11
90, 138, 12
91, 136, 12
92, 130, 13
93, 137, 19
94, 127, 21
95, 121, 23
96, 116, 23
97, 110, 23
98, 99, 30
99, 104, 32
100, 102, 38
101, 84, 41
102, 84, 44
103, 82, 43
104, 87, 46
105, 78, 44
106, 76, 46
107, 76, 45
108, 89, 44
109, 85, 45
110, 75, 44
111, 79, 46
112, 78, 51
113, 75, 54
114, 72, 56
115, 74, 49
116, 77, 52
117, 62, 52
118, 63, 49
119, 65, 47
120, 70, 46
121, 65, 46
122, 66, 46
123, 71, 47
124, 78, 48
125, 76, 42
126, 88, 39
127, 86, 42
128, 84, 39
129, 82, 35
130, 78, 35
131, 89, 38
132, 94, 39
133, 96, 40
134, 100, 37
135, 102, 38
136, 109, 32
137, 104, 31
138, 100, 33
139, 106, 35
140, 99, 36
141, 91, 33
142, 87, 35
143, 95, 37
144, 84, 38
145, 71, 41
146, 77, 48
147, 78, 49
148, 69, 53
149, 69, 52
150, 63, 50
151, 57, 53
152, 59, 53
153, 55, 58
154, 61, 55
155, 57, 52
156, 62, 48
157, 63, 41
158, 73, 41
159, 71, 39
160, 73, 42
161, 80, 46
162, 84, 44
163, 84, 45
164, 98, 46
165, 98, 39
166, 96, 39
167, 97, 37
168, 93, 38
169, 93, 38
170, 91, 41
171, 94, 41
172, 90, 37
173, 97, 39
174, 95, 36
175, 93, 41
176, 100, 40
177, 97, 34
178, 110, 30
179, 105, 34
180, 99, 39
181, 99, 41
182, 90, 43
183, 98, 40
184, 105, 40
185, 102, 40
186, 80, 45
187, 86, 38
188, 81, 41
189, 78, 43
190, 80, 45
191, 73, 46
192, 79, 48
193, 80, 52
194, 74, 46
195, 81, 51
196, 75, 45
197, 77, 45
198, 78, 43
199, 85, 40
200, 80, 39
201, 79, 37
202, 84, 36
203, 86, 40
204, 84, 38
205, 93, 43
206, 101, 49
207, 85, 49
208, 91, 51
209, 94, 45
210, 91, 51
211, 88, 53
212, 82, 48
213, 84, 52
214, 76, 57
215, 78, 63
216, 82, 52
217, 75, 52
218, 81, 56
219, 75, 58
220, 78, 55
221, 79, 59
222, 75, 58
223, 75, 52
224, 59, 49
225, 69, 46
226, 65, 48
227, 60, 51
228, 60, 50
229, 66, 50
230, 62, 52
231, 66, 55
232, 67, 51
233, 70, 52
234, 70, 47
235, 74, 45
236, 73, 42
237, 70, 39
238, 77, 39
239, 83, 37
240, 82, 32
241, 87, 27
242, 96, 30
243, 102, 32
244, 100, 29
245, 98, 24
246, 106, 26
247, 107, 25
248, 118, 30
249, 112, 28
250, 107, 31
251, 89, 35
252, 80, 36
253, 79, 29
254, 86, 31
255, 88, 31
256, 82, 33
257, 83, 32
258, 88, 36
259, 83, 40
260, 83, 43
261, 82, 43
262, 79, 47
263, 74, 47
264, 76, 51
265, 76, 52
266, 69, 49
267, 69, 51
268, 74, 51
269, 76, 55
270, 77, 60
271, 76, 53
272, 80, 55
273, 88, 49
274, 83, 53
275, 74, 52
276, 69, 50
277, 72, 50
278, 77, 50
279, 81, 49
280, 86, 40
281, 83, 36
282, 91, 38
283, 89, 36
284, 95, 37
285, 96, 39
286, 93, 36
287, 104, 38
288, 100, 37
289, 104, 42
290, 94, 36
291, 87, 42
292, 80, 48
293, 86, 44
294, 86, 46
295, 83, 42
296, 84, 39
297, 88, 42
298, 86, 40
299, 83, 42
300, 89, 38
301, 91, 37
302, 84, 42
303, 93, 46
304, 84, 49
305, 78, 42
306, 82, 41
307, 85, 40
308, 86, 43
309, 88, 47
310, 80, 47
311, 67, 45
312, 68, 51
313, 73, 51
314, 64, 48
315, 64, 46
316, 71, 45
317, 75, 44
318, 89, 47
319, 92, 39
320, 90, 41
321, 91, 39
322, 90, 39
323, 86, 38
324, 93, 38
325, 92, 38
326, 92, 35
327, 93, 36
328, 84, 32
329, 91, 32
330, 91, 35
331, 94, 36
332, 91, 35
333, 85, 39
334, 84, 41
335, 88, 41
336, 87, 41
337, 87, 38
338, 79, 38
339, 85, 35
340, 94, 41
341, 92, 39
342, 83, 41
343, 91, 42
344, 96, 32
345, 92, 36
346, 94, 41
347, 97, 39
348, 94, 38
349, 90, 37
350, 87, 42
351, 88, 46
352, 90, 45
353, 96, 44
354, 91, 45
355, 86, 48
356, 87, 46
357, 77, 51
358, 87, 52
359, 79, 57
360, 80, 59
361, 86, 54
362, 85, 48
363, 86, 45
364, 86, 46
365, 93, 43
366, 90, 38
367, 87, 43
368, 87, 48
369, 83, 41
370, 80, 37
371, 71, 36
372, 77, 38
373, 78, 38
374, 84, 39
375, 83, 39
376, 83, 37
377, 82, 36
378, 72, 41
379, 59, 43
380, 58, 45
381, 61, 48
382, 57, 47
383, 53, 48
384, 54, 38
385, 54, 39
386, 56, 37
387, 64, 38
388, 80, 31
389, 83, 28
390, 98, 26
391, 102, 23
392, 95, 24
393, 106, 25
394, 107, 24
395, 108, 25
396, 104, 24
397, 112, 28
398, 115, 33
399, 113, 35
400, 116, 31
401, 108, 30
402, 116, 31
403, 116, 33
404, 113, 41
405, 97, 45
406, 94, 49
407, 88, 50
408, 82, 45
409, 87, 44
410, 79, 51
411, 68, 53
412, 68, 53
413, 72, 51
414, 70, 51
415, 68, 48
416, 68, 45
417, 73, 46
418, 71, 50
419, 70, 48
420, 77, 49
421, 80, 55
422, 78, 53
423, 80, 48
424, 75, 51
425, 73, 50
426, 71, 49
427, 71, 54
428, 67, 54
429, 71, 51
430, 71, 45
431, 81, 46
432, 82, 50
433, 86, 49
434, 93, 44
435, 100, 45
436, 96, 43
437, 106, 46
438, 110, 44
439, 106, 42
440, 102, 39
441, 108, 43
442, 101, 40
443, 96, 42
444, 97, 48
445, 95, 49
446, 85, 46
447, 90, 46
448, 84, 44
449, 87, 43
450, 86, 45
451, 84, 48
452, 80, 44
453, 84, 49
454, 87, 47
455, 73, 44
456, 75, 46
457, 76, 49
458, 77, 47
459, 82, 43
460, 83, 48
461, 95, 44
462, 87, 42
463, 96, 45
464, 90, 50
465, 85, 49
466, 83, 43
467, 86, 42
468, 93, 46
469, 86, 40
470, 77, 42
471, 84, 42
472, 87, 45
473, 102, 41
474, 95, 44
475, 97, 39
476, 98, 42
477, 105, 42
478, 92, 41
479, 90, 39
480, 91, 40
481, 96, 40
482, 92, 43
483, 90, 39
484, 86, 36
485, 92, 42
486, 76, 38
487, 71, 39
488, 82, 39
489, 69, 40
490, 70, 45
491, 78, 46
492, 70, 50
493, 71, 52
494, 75, 52
495, 86, 46
496, 90, 44
497, 90, 42
498, 84, 44
499, 92, 50
500, 87, 45
501, 86, 41
502, 92, 39
503, 94, 36
504, 96, 34
505, 92, 33
506, 85, 38
507, 90, 38
508, 88, 36
509, 96, 37
510, 94, 39
511, 105, 40
512, 105, 39
